 format: day,hour,value location:61_126 Start : 20220101 
1,0,-3.5
1,100,-2.1
1,200,-1.4
1,300,0.5
1,400,1.8
1,500,1.9
1,600,2.3
1,700,1.7
1,800,1.7
1,900,2.1
1,1000,1.7
1,1100,0.8
1,1200,1.1
1,1300,1
1,1400,0.4
1,1500,0.6
1,1600,0.5
1,1700,0.6
1,1800,0.5
1,1900,0.7
1,2000,0.5
1,2100,-0.5
1,2200,0
1,2300,0.9
2,0,2
2,100,2.4
2,200,2.8
2,300,3.9
2,400,4.4
2,500,4.5
2,600,4.1
2,700,2.9
2,800,1.6
2,900,1.4
2,1000,0.6
2,1100,0
2,1200,-0.6
2,1300,-1
2,1400,-1.4
2,1500,-1.4
2,1600,-2.1
2,1700,-2.1
2,1800,-2.6
2,1900,-3
2,2000,-2.7
2,2100,-3.1
2,2200,-3
2,2300,-2.2
3,0,-0.7
3,100,0.4
3,200,2
3,300,3.1
3,400,3.8
3,500,3.9
3,600,3.5
3,700,3.2
3,800,3.3
3,900,3.4
3,1000,3.4
3,1100,3
3,1200,2.9
3,1300,3.1
3,1400,3.2
3,1500,3.1
3,1600,2.2
3,1700,1.5
3,1800,0.7
3,1900,0.1
3,2000,-0.2
3,2100,-0.8
3,2200,-1.1
3,2300,-0.6
4,0,0.7
4,100,1.3
4,200,1.6
4,300,1.8
4,400,2.9
4,500,2.2
4,600,2.2
4,700,1.6
4,800,1.2
4,900,1
4,1000,0.4
4,1100,0
4,1200,-0.7
4,1300,-1.3
4,1400,-1.5
4,1500,-1.9
4,1600,-2.4
4,1700,-2.7
4,1800,-3
4,1900,-3.3
4,2000,-3.5
4,2100,-3.7
4,2200,-3.5
4,2300,-2.8
5,0,-1.7
5,100,0.1
5,200,0.6
5,300,2.1
5,400,3
5,500,3.4
5,600,3.6
5,700,3.7
5,800,3.5
5,900,3
5,1000,2.5
5,1100,2.3
5,1200,1.7
5,1300,1.2
5,1400,0.7
5,1500,0.4
5,1600,0
5,1700,-0.2
5,1800,-0.8
5,1900,-1.3
5,2000,-1.5
5,2100,-1.9
5,2200,-1.8
5,2300,-0.3
6,0,0.8
6,100,1.8
6,200,3
6,300,3.5
6,400,4.7
6,500,5.2
6,600,4.4
6,700,3.8
6,800,3.4
6,900,2.7
6,1000,2
6,1100,1.1
6,1200,0.3
6,1300,0.1
6,1400,0.1
6,1500,0.1
6,1600,-0.3
6,1700,-0.7
6,1800,-1
6,1900,-1.7
6,2000,-1.9
6,2100,-2.4
6,2200,-2.1
6,2300,-50
7,0,0.7
7,100,2
7,200,3.1
7,300,4.1
7,400,4.8
7,500,5.6
7,600,5.1
7,700,4.4
7,800,4
7,900,3.3
7,1000,2.3
7,1100,2
7,1200,1.7
7,1300,1.5
7,1400,0.6
7,1500,0.3
7,1600,0
7,1700,0
7,1800,-0.5
7,1900,-1.4
7,2000,-1.3
7,2100,-1.5
7,2200,-1.2
7,2300,-0.3
8,0,0.9
8,100,2.3
8,200,3.6
8,300,4.3
8,400,4.9
8,500,5.1
8,600,5.3
8,700,5.6
8,800,5.5
8,900,5.8
8,1000,5.5
8,1100,5.5
8,1200,5.5
8,1300,5.7
8,1400,5.9
8,1500,6
8,1600,5.5
8,1700,4.7
8,1800,3.9
8,1900,2.8
8,2000,2.1
8,2100,2
8,2200,1.9
8,2300,2.1
9,0,3.1
9,100,4
9,200,4.4
9,300,5.5
9,400,6.1
9,500,6.5
9,600,6.2
9,700,5.5
9,800,5
9,900,4.1
9,1000,3.6
9,1100,3
9,1200,2.7
9,1300,2.6
9,1400,2
9,1500,1.5
9,1600,1.2
9,1700,0.7
9,1800,0.5
9,1900,0.8
9,2000,0.3
9,2100,-0.1
9,2200,-0.4
9,2300,0.7
10,0,1.8
10,100,3.6
10,200,4.8
10,300,6
10,400,6
10,500,6.1
10,600,5.7
10,700,5.2
10,800,4.8
10,900,4.4
10,1000,3.8
10,1100,3.8
10,1200,3.6
10,1300,2.3
10,1400,2.1
10,1500,0.8
10,1600,-0.3
10,1700,-1.5
10,1800,-3.3
10,1900,-4.5
10,2000,-5.1
10,2100,-5.8
10,2200,-6.1
10,2300,-6.1
11,0,-5.1
11,100,-4.6
11,200,-4.3
11,300,-3.5
11,400,-2.5
11,500,-2.8
11,600,-2.7
11,700,-3.1
11,800,-3.8
11,900,-4.8
11,1000,-5.5
11,1100,-6
11,1200,-6.3
11,1300,-6.4
11,1400,-6.8
11,1500,-6.6
11,1600,-6.8
11,1700,-6.9
11,1800,-7
11,1900,-6.8
11,2000,-7.1
11,2100,-7.1
11,2200,-6.9
11,2300,-6.5
12,0,-5.2
12,100,-4.5
12,200,-3.3
12,300,-2.1
12,400,-2.1
12,500,-1.6
12,600,-1.8
12,700,-2.1
12,800,-2.1
12,900,-2.2
12,1000,-2.4
12,1100,-2.6
12,1200,-2.9
12,1300,-3.3
12,1400,-3.4
12,1500,-3.3
12,1600,-3.4
12,1700,-3.1
12,1800,-3.5
12,1900,-3.5
12,2000,-3.6
12,2100,-3.9
12,2200,-3.8
12,2300,-3.5
13,0,-2.6
13,100,-2.5
13,200,-1.6
13,300,-0.9
13,400,-1.5
13,500,-1.4
13,600,-1.7
13,700,-2.6
13,800,-3.4
13,900,-4.1
13,1000,-4.4
