 format: day,hour,value location:61_126 Start : 20220101 
1,0,36
1,100,35
1,200,30
1,300,30
1,400,30
1,500,32
1,600,33
1,700,35
1,800,37
1,900,38
1,1000,41
1,1100,47
1,1200,49
1,1300,48
1,1400,50
1,1500,51
1,1600,48
1,1700,48
1,1800,51
1,1900,50
1,2000,65
1,2100,83
1,2200,84
1,2300,80
2,0,76
2,100,75
2,200,69
2,300,61
2,400,49
2,500,41
2,600,44
2,700,44
2,800,39
2,900,37
2,1000,41
2,1100,42
2,1200,45
2,1300,44
2,1400,43
2,1500,45
2,1600,47
2,1700,35
2,1800,38
2,1900,39
2,2000,45
2,2100,50
2,2200,48
2,2300,51
3,0,48
3,100,43
3,200,36
3,300,42
3,400,43
3,500,47
3,600,47
3,700,54
3,800,59
3,900,63
3,1000,67
3,1100,76
3,1200,76
3,1300,77
3,1400,79
3,1500,77
3,1600,73
3,1700,71
3,1800,71
3,1900,68
3,2000,64
3,2100,67
3,2200,67
3,2300,61
4,0,50
4,100,41
4,200,45
4,300,40
4,400,34
4,500,30
4,600,27
4,700,26
4,800,27
4,900,27
4,1000,28
4,1100,31
4,1200,34
4,1300,36
4,1400,40
4,1500,41
4,1600,42
4,1700,44
4,1800,47
4,1900,49
4,2000,49
4,2100,51
4,2200,50
4,2300,49
5,0,44
5,100,40
5,200,38
5,300,36
5,400,33
5,500,33
5,600,34
5,700,34
5,800,44
5,900,45
5,1000,46
5,1100,47
5,1200,49
5,1300,53
5,1400,55
5,1500,56
5,1600,57
5,1700,59
5,1800,61
5,1900,63
5,2000,62
5,2100,58
5,2200,58
5,2300,50
6,0,43
6,100,36
6,200,32
6,300,32
6,400,27
6,500,27
6,600,29
6,700,31
6,800,33
6,900,34
6,1000,36
6,1100,41
6,1200,45
6,1300,49
6,1400,49
6,1500,43
6,1600,45
6,1700,46
6,1800,49
6,1900,62
6,2000,64
6,2100,65
6,2200,59
6,2300,-1
7,0,51
7,100,44
7,200,39
7,300,27
7,400,26
7,500,20
7,600,18
7,700,20
7,800,26
7,900,38
7,1000,43
7,1100,45
7,1200,50
7,1300,57
7,1400,57
7,1500,58
7,1600,56
7,1700,57
7,1800,58
7,1900,67
7,2000,68
7,2100,67
7,2200,59
7,2300,58
8,0,56
8,100,50
8,200,47
8,300,46
8,400,48
8,500,55
8,600,62
8,700,69
8,800,71
8,900,72
8,1000,77
8,1100,78
8,1200,78
8,1300,78
8,1400,76
8,1500,78
8,1600,80
8,1700,81
8,1800,83
8,1900,86
8,2000,87
8,2100,87
8,2200,87
8,2300,85
9,0,83
9,100,73
9,200,68
9,300,61
9,400,52
9,500,50
9,600,48
9,700,49
9,800,49
9,900,52
9,1000,57
9,1100,66
9,1200,69
9,1300,68
9,1400,72
9,1500,76
9,1600,78
9,1700,82
9,1800,81
9,1900,74
9,2000,82
9,2100,78
9,2200,84
9,2300,76
10,0,74
10,100,63
10,200,56
10,300,46
10,400,44
10,500,35
10,600,44
10,700,43
10,800,51
10,900,52
10,1000,58
10,1100,54
10,1200,61
10,1300,81
10,1400,91
10,1500,74
10,1600,66
10,1700,66
10,1800,60
10,1900,62
10,2000,62
10,2100,57
10,2200,55
10,2300,53
11,0,48
11,100,45
11,200,42
11,300,41
11,400,39
11,500,35
11,600,35
11,700,37
11,800,43
11,900,43
11,1000,48
11,1100,50
11,1200,49
11,1300,48
11,1400,48
11,1500,49
11,1600,51
11,1700,52
11,1800,50
11,1900,47
11,2000,49
11,2100,49
11,2200,48
11,2300,43
12,0,39
12,100,37
12,200,35
12,300,35
12,400,31
12,500,31
12,600,32
12,700,35
12,800,36
12,900,39
12,1000,39
12,1100,36
12,1200,38
12,1300,40
12,1400,39
12,1500,38
12,1600,38
12,1700,38
12,1800,39
12,1900,43
12,2000,45
12,2100,47
12,2200,44
12,2300,42
13,0,41
13,100,40
13,200,35
13,300,31
13,400,30
13,500,29
13,600,33
13,700,36
13,800,41
13,900,43
13,1000,44
13,1100,44
13,1200,42
