 format: day,hour,value location:61_126 Start : 20220101 
1,0,1.4
1,100,1.7
1,200,0.6
1,300,1
1,400,1.2
1,500,1
1,600,1.2
1,700,0.2
1,800,0.4
1,900,1.2
1,1000,0.8
1,1100,0.7
1,1200,1
1,1300,1.3
1,1400,1.1
1,1500,1.4
1,1600,1.5
1,1700,1.9
1,1800,1.9
1,1900,1.4
1,2000,1.2
1,2100,0.9
1,2200,0.9
1,2300,1.1
2,0,0.5
2,100,2.6
2,200,3.6
2,300,1.8
2,400,3.4
2,500,3
2,600,2.6
2,700,3.4
2,800,0.9
2,900,1.9
2,1000,1.2
2,1100,1.9
2,1200,0.6
2,1300,0.7
2,1400,0.7
2,1500,0.9
2,1600,0.4
2,1700,1.4
2,1800,1.6
2,1900,1.8
2,2000,0.8
2,2100,0.8
2,2200,0.1
2,2300,0.3
3,0,1.2
3,100,1.3
3,200,1.4
3,300,2.8
3,400,1.9
3,500,1.9
3,600,2.1
3,700,1.9
3,800,1.5
3,900,1.9
3,1000,1.7
3,1100,1.9
3,1200,0.6
3,1300,0.8
3,1400,0.7
3,1500,2.4
3,1600,2.7
3,1700,2.1
3,1800,2.7
3,1900,1.9
3,2000,2.7
3,2100,3.3
3,2200,2.3
3,2300,1.6
4,0,1.5
4,100,1.7
4,200,3
4,300,2.9
4,400,1.7
4,500,3.9
4,600,2.4
4,700,3.5
4,800,1.7
4,900,1.9
4,1000,1.6
4,1100,1.3
4,1200,1.9
4,1300,1.4
4,1400,2
4,1500,2.2
4,1600,1.6
4,1700,1.7
4,1800,1.4
4,1900,1.1
4,2000,2
4,2100,1.1
4,2200,2.5
4,2300,0.9
5,0,1.2
5,100,0.9
5,200,1.4
5,300,1
5,400,1.4
5,500,0.8
5,600,1.1
5,700,1
5,800,0.8
5,900,0.4
5,1000,1.1
5,1100,0.5
5,1200,1.2
5,1300,1.4
5,1400,1
5,1500,1.1
5,1600,1.5
5,1700,0.7
5,1800,1.7
5,1900,1.6
5,2000,1.7
5,2100,1.9
5,2200,1.3
5,2300,0.7
6,0,1.8
6,100,2.5
6,200,3.1
6,300,3.5
6,400,3.5
6,500,2.7
6,600,3.7
6,700,2.7
6,800,2.6
6,900,2.1
6,1000,1.5
6,1100,1.8
6,1200,0.8
6,1300,1.2
6,1400,0.6
6,1500,2
6,1600,2.5
6,1700,1.8
6,1800,0.4
6,1900,1.3
6,2000,0.6
6,2100,1.3
6,2200,0.6
6,2300,-1
7,0,1
7,100,1
7,200,1.4
7,300,2.7
7,400,3.1
7,500,2.2
7,600,2.2
7,700,2.2
7,800,2.3
7,900,1.5
7,1000,0.9
7,1100,1.5
7,1200,1.7
7,1300,0.9
7,1400,0.8
7,1500,0.4
7,1600,0.4
7,1700,0.5
7,1800,0.5
7,1900,0.6
7,2000,0.7
7,2100,1.3
7,2200,0.3
7,2300,0.5
8,0,0.6
8,100,0.4
8,200,0.5
8,300,0.4
8,400,0.4
8,500,0.4
8,600,1.2
8,700,1.9
8,800,2.5
8,900,2.5
8,1000,1.8
8,1100,1.4
8,1200,1.7
8,1300,1.6
8,1400,1.6
8,1500,2.1
8,1600,1.2
8,1700,0.7
8,1800,1.4
8,1900,2.4
8,2000,1.8
8,2100,1.3
8,2200,2.1
8,2300,0.7
9,0,0.8
9,100,0.8
9,200,1.4
9,300,2.1
9,400,2
9,500,1
9,600,1.4
9,700,0.8
9,800,1.1
9,900,0.8
9,1000,1.3
9,1100,1.5
9,1200,1
9,1300,0.6
9,1400,0.2
9,1500,0.3
9,1600,0.1
9,1700,0.6
9,1800,0.8
9,1900,0.8
9,2000,0.4
9,2100,0.4
9,2200,0.9
9,2300,0.7
10,0,1.3
10,100,1.2
10,200,1.3
10,300,1.2
10,400,2.3
10,500,2
10,600,2.4
10,700,1.5
10,800,1.9
10,900,2.1
10,1000,1.3
10,1100,1.6
10,1200,1.7
10,1300,1.6
10,1400,2
10,1500,3.6
10,1600,2.5
10,1700,1.6
10,1800,4.3
10,1900,3.8
10,2000,1.8
10,2100,3.3
10,2200,3.3
10,2300,2.7
11,0,2.5
11,100,4.6
11,200,4.1
11,300,4.9
11,400,3.9
11,500,3.4
11,600,3.2
11,700,3.2
11,800,2.8
11,900,3.8
11,1000,3.7
11,1100,2.7
11,1200,2.1
11,1300,2.5
11,1400,1.6
11,1500,1.7
11,1600,2.6
11,1700,1.5
11,1800,1.3
11,1900,1.4
11,2000,0.9
11,2100,2.4
11,2200,1.5
11,2300,1.5
12,0,3.7
12,100,3.1
12,200,2.9
12,300,2.4
12,400,3.2
12,500,3
12,600,2.8
12,700,2.7
12,800,2.8
12,900,3.9
12,1000,2.1
12,1100,1
12,1200,1.4
12,1300,0.7
12,1400,1.7
12,1500,1.4
12,1600,1
12,1700,1.5
12,1800,0.7
12,1900,2.2
12,2000,2.5
12,2100,3.3
12,2200,2.8
12,2300,3.2
13,0,2.6
13,100,4.2
13,200,3
13,300,2.6
13,400,4.9
13,500,5.7
13,600,3.5
13,700,5.3
13,800,6.6
13,900,1.6
13,1000,3.2
13,1100,2.2
13,1200,2.5
13,1300,3
13,1400,2.5
13,1500,2.9
13,1600,2
13,1700,1.4
13,1800,1.5
13,1900,1.4
13,2000,1.7
13,2100,0.7
13,2200,1.2
13,2300,0.8
14,0,1.3
14,100,0.9
14,200,1
14,300,0.8
14,400,2.2
14,500,1.7
14,600,1.1
14,700,0.7
14,800,0
14,900,1.4
14,1000,1.2
14,1100,1.2
14,1200,1.6
14,1300,1.2
14,1400,0.5
14,1500,0.7
14,1600,1
14,1700,0.2
14,1800,0.8
14,1900,0.2
14,2000,0.3
14,2100,1.1
14,2200,1.5
14,2300,0.7
15,0,1.9
15,100,1.8
15,200,1.4
15,300,0.7
15,400,0.9
15,500,0.8
15,600,0.9
15,700,1.3
15,800,1.7
15,900,0.8
15,1000,0.4
15,1100,0.1
15,1200,1.1
15,1300,0.9
15,1400,1.2
15,1500,1.6
15,1600,2.3
15,1700,1.7
15,1800,2.5
15,1900,2
15,2000,1.6
15,2100,1.6
15,2200,3.8
15,2300,3.7
16,0,4.5
16,100,2.5
16,200,2.6
16,300,3.7
16,400,3.8
16,500,3.8
16,600,4.1
16,700,2.3
16,800,3.1
16,900,3.9
16,1000,1.9
16,1100,2.2
16,1200,3.1
16,1300,2.5
16,1400,3.3
16,1500,1.6
16,1600,1.1
16,1700,0.4
16,1800,1.5
16,1900,1.2
16,2000,0.7
16,2100,0.5
16,2200,1.1
16,2300,1.4
