 format: day,hour,value location:60_127 Start : 20220101 
1,0,41
1,100,35
1,200,34
1,300,32
1,400,33
1,500,35
1,600,35
1,700,39
1,800,44
1,900,46
1,1000,47
1,1100,49
1,1200,51
1,1300,54
1,1400,55
1,1500,56
1,1600,57
1,1700,56
1,1800,55
1,1900,56
1,2000,71
1,2100,82
1,2200,83
1,2300,81
2,0,80
2,100,79
2,200,71
2,300,66
2,400,48
2,500,45
2,600,46
2,700,46
2,800,40
2,900,41
2,1000,47
2,1100,47
2,1200,48
2,1300,49
2,1400,52
2,1500,53
2,1600,58
2,1700,61
2,1800,58
2,1900,59
2,2000,54
2,2100,55
2,2200,57
2,2300,54
3,0,49
3,100,41
3,200,35
3,300,42
3,400,46
3,500,48
3,600,50
3,700,57
3,800,60
3,900,66
3,1000,70
3,1100,75
3,1200,76
3,1300,78
3,1400,81
3,1500,79
3,1600,76
3,1700,78
3,1800,75
3,1900,74
3,2000,74
3,2100,74
3,2200,75
3,2300,72
4,0,63
4,100,51
4,200,49
4,300,42
4,400,35
4,500,31
4,600,29
4,700,30
4,800,31
4,900,33
4,1000,35
4,1100,38
4,1200,42
4,1300,43
4,1400,47
4,1500,48
4,1600,49
4,1700,53
4,1800,52
4,1900,55
4,2000,56
4,2100,56
4,2200,58
4,2300,55
5,0,49
5,100,45
5,200,39
5,300,36
5,400,35
5,500,36
5,600,36
5,700,40
5,800,42
5,900,43
5,1000,45
5,1100,47
5,1200,47
5,1300,49
5,1400,52
5,1500,55
5,1600,56
5,1700,60
5,1800,62
5,1900,61
5,2000,61
5,2100,59
5,2200,64
5,2300,60
6,0,48
6,100,39
6,200,36
6,300,33
6,400,30
6,500,31
6,600,31
6,700,34
6,800,37
6,900,37
6,1000,42
6,1100,44
6,1200,47
6,1300,50
6,1400,52
6,1500,55
6,1600,57
6,1700,57
6,1800,58
6,1900,58
6,2000,61
6,2100,61
6,2200,65
6,2300,-1
7,0,57
7,100,44
7,200,36
7,300,29
7,400,26
7,500,24
7,600,22
7,700,26
7,800,37
7,900,43
7,1000,46
7,1100,52
7,1200,54
7,1300,54
7,1400,54
7,1500,52
7,1600,54
7,1700,54
7,1800,55
7,1900,57
7,2000,60
7,2100,60
7,2200,62
7,2300,60
8,0,57
8,100,52
8,200,51
8,300,52
8,400,54
8,500,64
8,600,70
8,700,72
8,800,73
8,900,74
8,1000,78
8,1100,78
8,1200,78
8,1300,78
8,1400,79
8,1500,82
8,1600,82
8,1700,83
8,1800,84
