gu,name,rent,return,station
강남구,2377. 수서역 5번출구,2680,2866,수서역5번출구
강남구,2306. 압구정역 2번 출구 옆,1928,1878,압구정역2번
강남구,2404. 대모산입구역 4번 출구 앞,1671,1742,대모산입구역4번
강남구,2414. 도곡역 아카데미스위트 앞,1658,1786,도곡역아카데미스위트
강남구,2342. 대청역 1번출구  뒤,1620,1634,대청역1번출구
강남구,2303. 논현역 10번출구,1462,1140,논현역10번출구
강남구,2375. 수서역 1번출구 앞,1325,1523,수서역1번출구
강남구,2333. 양재역 3번출구 주변,1286,677,양재역3번출구
강남구,3651. 개포동역 4번출구,1187,1195,개포동역4번출구
강남구,2372. 대치역 사거리,987,1150,대치역사거리
강남구,3604. 삼성중앙역 5번출구,824,670,삼성중앙역5번출구
강남구,4918. 매봉역 1번출구,762,805,매봉역1번출구
강남구,2353. 강남구청역 2번출구 뒤,732,406,강남구청역2번출구
강남구,2341. 일원역 4~5번 출구 사이,676,366,일원역4~5번
강남구,2376. 수서역 6번출구 앞,648,662,수서역6번출구
강남구,2320. 도곡역 대치지구대 방향,641,766,도곡역대치지구대
강남구,2315. 봉은사역 5번출구 옆,632,620,봉은사역5번출구
강남구,2337. 대모산입구역 2번출구 앞,612,542,대모산입구역2번출구
강남구,2312. 청담역 13번 출구 앞,490,469,청담역13번
강남구,2381. 언주역 3번출구앞,484,485,언주역3번출구앞
강남구,2373. 개포동역 사거리,483,489,개포동역사거리
강남구,3649. 구룡역 5번 출구,459,446,구룡역5번
강남구,2370. 한티역 3번출구,444,393,한티역3번출구
강남구,2321. 학여울역 사거리,436,411,학여울역사거리
강남구,3646. 선정릉역 4번 출구,430,401,선정릉역4번
강남구,3620. 청담역 11번 출구,418,79,청담역11번
강남구,3647. 구룡역 1번 출구,330,333,구룡역1번
강남구,2421. 신논현역 4번출구,325,308,신논현역4번출구
강남구,4930. 학여울역 1번출구,274,201,학여울역1번출구
강남구,3624. 대모산입구역 7번 출구 앞,249,176,대모산입구역7번
강남구,4916. 청담역 1번출구,241,206,청담역1번출구
강남구,2354. 청담역 2번출구,174,145,청담역2번출구
강남구,3648. 구룡역 4번 출구,113,112,구룡역4번
