gu,name,rent,return,station
강서구,2701. 마곡나루역 5번출구 뒤편,10112,10177,마곡나루역5번출구
강서구,"1153. 발산역 1번, 9번 인근 대여소",9368,9121,"발산역1번,"
강서구,1124. 발산역 6번 출구 뒤,6665,6680,발산역6번
강서구,5052. 마곡역 7번출구,6316,6381,마곡역7번출구
강서구,1160. 양천향교역 7번출구앞,6071,6099,양천향교역7번출구앞
강서구,5082. 가양역 7번출구,5427,6245,가양역7번출구
강서구,1158. 가양역 8번출구,5156,5165,가양역8번출구
강서구,"1191. 마곡역 버스정류장(마곡나루역1번출구, 웰튼병원 방면)",3980,3897,"마곡역버스정류장(마곡나루역1번출구,"
강서구,5080. 가양역 1번출구,3634,4016,가양역1번출구
강서구,1118. 증미역 3번출구뒤(등촌두산위브센티움오피스텔),3379,3971,증미역3번출구뒤(등촌두산위브센티움오피스텔)
강서구,1150. 송정역 1번출구,3336,3383,송정역1번출구
강서구,1103. 방화역 4번출구앞,3296,3207,방화역4번출구앞
강서구,1169. 염창역 1번 출구,2718,2793,염창역1번
강서구,3760. 발산역 8번 출구,2500,2489,발산역8번
강서구,3769. 증미역 2번출구,2400,2593,증미역2번출구
강서구,1126. 우장산역 1번출구옆(우장산아이파크105동앞),2230,1195,우장산역1번출구옆(우장산아이파크105동앞)
강서구,3754. 신방화역 8번출구,2201,2022,신방화역8번출구
강서구,1132. 등촌역 7번출구,2180,2391,등촌역7번출구
강서구,3757. 신방화역 6번출구,2175,2116,신방화역6번출구
강서구,3796. 송정역 3번출구 앞,2001,1723,송정역3번출구
강서구,1129. 화곡역 1번 출구 앞,1968,1951,화곡역1번
강서구,1108. 공항시장역 2번출구 뒤,1960,1962,공항시장역2번출구
강서구,1128. 화곡역 6번출구,1770,1762,화곡역6번출구
강서구,5088. 등촌역 센터스퀘어,1738,1752,등촌역센터스퀘어
강서구,1199. 우장산역 3번출구,1649,1008,우장산역3번출구
강서구,1190. 마곡역 교차로(2번출구),1459,1352,마곡역교차로(2번출구)
강서구,5073. 우장산역 헤링턴타워 앞,1405,1155,우장산역헤링턴타워
강서구,5075. 등촌역 1번출구,1272,1232,등촌역1번출구
강서구,1127. 화곡역 버스정류장,1223,1217,화곡역버스정류장
강서구,1178. 개화산역 2번 출구,1035,1024,개화산역2번
강서구,1109. 공항시장역 4번출구,899,914,공항시장역4번출구
