gu,name,rent,return,station
광진구,502. 자양(뚝섬한강공원)역 1번출구 앞,9495,9895,자양(뚝섬한강공원)역1번출구
광진구,3533. 건대입구역 사거리(롯데백화점),6681,7332,건대입구역사거리(롯데백화점)
광진구,3534. 건대입구역 5번출구 뒤,5827,5943,건대입구역5번출구
광진구,3518. 군자역 7번출구뒤,5570,5622,군자역7번출구뒤
광진구,549. 아차산역 3번출구,3250,3218,아차산역3번출구
광진구,540. 군자역 7번출구 베스트샵 앞,2680,2686,군자역7번출구
광진구,500. 어린이대공원역 3번출구 앞,2405,2410,어린이대공원역3번출구
광진구,576. 광나루역 3번 출구,2313,2460,광나루역3번
광진구,542. 강변역 4번출구 뒤,1639,1659,강변역4번출구
광진구,3853. 어린이대공원역 2번출구,1436,1020,어린이대공원역2번출구
광진구,3502. 중곡역 1번출구,1378,1335,중곡역1번출구
