gu,name,rent,return,station
구로구,1911. 구로디지털단지역 앞,6157,6195,구로디지털단지역앞
구로구,1906. 신도림역 1번 출구 앞,6065,6033,신도림역1번
구로구,1946. 구로역 광장,2996,3003,구로역광장
구로구,1904. 도림천역 1번 출구 앞,2834,2799,도림천역1번
구로구,1977. 천왕역 1번 출입구 앞,1932,1650,천왕역1번
구로구,1996. 구일역 1번 출입구 앞,1804,1803,구일역1번
구로구,1975. 대림역 1번 출입구 밑,1739,1735,대림역1번
구로구,1991. 오류동역 맞은편,1673,1956,오류동역맞은편
구로구,1953. 천왕역 4번출구 뒤,1085,758,천왕역4번출구
구로구,3931. 천왕역 3번 출구 뒤,1068,761,천왕역3번
구로구,1941. 오류동역 2번출구,1035,1426,오류동역2번출구
구로구,1976. 남구로역 5번 출입구 앞,798,562,남구로역5번
구로구,1936. 개봉역 1번 출구 자전거보관서쪽,730,814,개봉역1번
구로구,3930. 온수역 2번 출구 앞,621,621,온수역2번
구로구,1943. 온수역 북측,244,243,온수역북측
구로구,3937. 개봉역 신영지웰에스테이트,33,28,개봉역신영지웰에스테이트
