gu,name,rent,return,station
노원구,1625. 상계역 3번출구,4960,4990,상계역3번출구
노원구,1601. 석계역 문화광장 내 자전거 보관소,4618,5479,석계역문화광장
노원구,1608. 공릉역 1번 출구 앞,3938,4409,공릉역1번
노원구,1684. 태릉입구역 5번출구,3684,3656,태릉입구역5번출구
노원구,1668. 중계역 6번출구,3248,3491,중계역6번출구
노원구,1669. 중계역 3번출구,2655,2543,중계역3번출구
노원구,1610. 화랑대역 2번출구 앞,2524,2804,화랑대역2번출구
노원구,1688. 마들역 7번출구,2479,2480,마들역7번출구
노원구,1643. 태릉입구역 8번출구,2093,2106,태릉입구역8번출구
노원구,1602. 광운대역 앞,1865,2084,광운대역앞
노원구,1689. 마들역 3번출구,1831,1884,마들역3번출구
노원구,2909. 석계역 3번 출구,1727,1761,석계역3번
노원구,5323. 하계역 4번출구 앞,1673,1663,하계역4번출구
노원구,4036. 하계역 6번출구,1631,1848,하계역6번출구
노원구,1606. 태릉입구역 3번출구 ,1592,1595,태릉입구역3번출구
노원구,1627. 수락산역 4번출구,1506,1493,수락산역4번출구
노원구,5332. 마들역 4번출구,1151,1169,마들역4번출구
노원구,4014. 당고개역 3번 출구,1112,1113,당고개역3번
노원구,5335. 하계역 1번 출구,1056,1120,하계역1번
노원구,4023. 월계역 1번 출구,914,1138,월계역1번
노원구,4033. 녹천역 4번 출구 옆,557,565,녹천역4번
노원구,5315. 당고개역 앞,399,354,당고개역앞
노원구,5334. 화랑대역 3번출구,298,287,화랑대역3번출구
