gu,name,rent,return,station
동작구,4179. 보라매병원역 1번출구,5132,5132,보라매병원역1번출구
동작구,2050. 노량진역 5번출구,2649,3092,노량진역5번출구
동작구,2002. 노들역 1번출구,2608,3057,노들역1번출구
동작구,2015. 신대방삼거리역 6번출구쪽,2160,2208,신대방삼거리역6번출구쪽
동작구,2032. 이수역 11번출구쪽,1811,2336,이수역11번출구쪽
동작구,2025. 흑석역 1번출구,1642,2073,흑석역1번출구
동작구,2013. 장승배기역 5번출구,1276,1078,장승배기역5번출구
동작구,2070. 노량진역 2번 출구 앞,1264,1484,노량진역2번
동작구,4181. 보라매공원역 2번출구,1184,1155,보라매공원역2번출구
동작구,2016. 신대방삼거리역 3번출구쪽,1112,1103,신대방삼거리역3번출구쪽
동작구,2009. 보라매역 8번출구,954,989,보라매역8번출구
동작구,2034. 사당역 7번출구쪽,709,723,사당역7번출구쪽
동작구,2026. 흑석역 4번출구,519,755,흑석역4번출구
동작구,2024. 상도역 1번출구,448,360,상도역1번출구
동작구,2037. 동작역 5번출구 동작주차공원,371,314,동작역5번출구
동작구,2038. 동작역 7번출구,353,359,동작역7번출구
