gu,name,rent,return,station
마포구,113. 홍대입구역 2번출구 앞,5563,6489,홍대입구역2번출구
마포구,102. 망원역 1번출구 앞,3363,3499,망원역1번출구
마포구,144. 공덕역 8번출구,3072,3343,공덕역8번출구
마포구,415. DMC역 9번출구 앞,2904,2861,DMC역9번출구
마포구,147. 마포역 4번출구 뒤,2790,3184,마포역4번출구
마포구,103. 망원역 2번출구 앞,2614,2808,망원역2번출구
마포구,146. 마포역 2번출구 뒤,2474,2669,마포역2번출구
마포구,114. 홍대입구역 8번출구 앞,2080,2082,홍대입구역8번출구
마포구,418. 월드컵경기장역 3번출구 옆,2041,2018,월드컵경기장역3번출구
마포구,417. DMC역 2번출구 옆,2032,1716,DMC역2번출구
마포구,106. 합정역 7번출구 앞,1979,1959,합정역7번출구
마포구,3009. 홍대입구역 사거리,1753,1878,홍대입구역사거리
마포구,111. 상수역 2번출구 앞,1603,1600,상수역2번출구
마포구,157. 애오개역 4번출구 앞,1594,1747,애오개역4번출구
마포구,104. 합정역 1번출구 앞,1580,1388,합정역1번출구
마포구,150. 서강대역 2번출구 앞,1359,1368,서강대역2번출구
마포구,143. 공덕역 2번출구,1284,1478,공덕역2번출구
마포구,437. 대흥역 1번출구,1234,1288,대흥역1번출구
마포구,145. 공덕역 5번출구,1037,1288,공덕역5번출구
마포구,105. 합정역 5번출구 앞,879,810,합정역5번출구
마포구,436. 이대역 5번출구,760,236,이대역5번출구
마포구,118. 광흥창역 2번출구 앞,709,718,광흥창역2번출구
마포구,142. 아현역 4번출구 앞,705,709,아현역4번출구
