gu,name,rent,return,station
서초구,"2219. 고속터미널역 8-1번, 8-2번 출구 사이",3170,3210,"고속터미널역8-1번,"
서초구,2264. 이수역 1번출구,2409,2573,이수역1번출구
서초구,2255. 양재시민의숲역 1번출구,2345,2382,양재시민의숲역1번출구
서초구,4303. 매헌역 2번출구앞광역버스 정류장앞(22-297),1677,1694,매헌역2번출구앞광역버스
서초구,2274. 양재시민의숲역 3번출구,1632,1619,양재시민의숲역3번출구
서초구,2279. 교대역 5번출구뒤,1514,1575,교대역5번출구뒤
서초구,2259. 잠원역 3번-4번 출구사이 ,1260,1564,잠원역3번-4번
서초구,2504. 신사역 4번출구 뒤,1212,968,신사역4번출구
서초구,2213. 고속터미널역 5번출구 앞,1007,803,고속터미널역5번출구
서초구,2511. 이수역 6번출구 앞,1006,1035,이수역6번출구
서초구,4318. 방배역 2번 출구,905,898,방배역2번
서초구,2214. 신반포역 2번출구 앞,837,996,신반포역2번출구
서초구,2266. 서초역 3번출구,836,855,서초역3번출구
서초구,2297. 남부터미널역 1번출구,759,566,남부터미널역1번출구
서초구,4316. 고속터미널역 3번출구,736,542,고속터미널역3번출구
서초구,2271. 내방역 8번출구 앞,723,802,내방역8번출구
서초구,2203. 청계산입구역 2번출구,277,179,청계산입구역2번출구
서초구,2289. 남태령역 2번출구,119,36,남태령역2번출구
서초구,4345. 반포역 4번출구,114,126,반포역4번출구
