gu,name,rent,return,station
성동구,529. 장한평역 8번 출구 앞,6051,6289,장한평역8번
성동구,567. 성수역 2번출구 앞,4906,4882,성수역2번출구
성동구,565. 옥수역 3번출구,4325,4851,옥수역3번출구
성동구,3511. 응봉역 1번출구,3086,3401,응봉역1번출구
성동구,512. 뚝섬역 1번 출구 옆,2870,2808,뚝섬역1번
성동구,3513. 상왕십리역 1번출구,2542,1347,상왕십리역1번출구
성동구,559. 왕십리역 4번 출구 건너편,2150,2128,왕십리역4번
성동구,561. 서울숲역 2번출구 앞,2009,2009,서울숲역2번출구
성동구,4392. 답십리역 6번출구,1786,2206,답십리역6번출구
성동구,4387. 성수역 1번출구 주변,1644,1700,성수역1번출구
성동구,521. 왕십리역 11번 출구 앞,1587,1583,왕십리역11번
성동구,513. 뚝섬역 5번 출구 정류소 옆,1433,1414,뚝섬역5번
성동구,511. 서울숲역 5번 출구 옆,1382,1380,서울숲역5번
성동구,537. 한양대후문역 부근,1168,1159,한양대후문역부근
성동구,579. 마장역 4번출구,1003,1054,마장역4번출구
성동구,520. 상왕십리역 4번 출구 앞,943,859,상왕십리역4번
성동구,536. 행당역 2번출구 앞,773,851,행당역2번출구
성동구,538. 답십리역 8번출구 앞,505,619,답십리역8번출구
성동구,4390. 신답역 1번출구,423,431,신답역1번출구
성동구,522. 금호역 1번출구 앞,373,376,금호역1번출구
성동구,564. 금호역 3번출구,106,68,금호역3번출구
성동구,4363. 신금호역 2번출구 앞,94,72,신금호역2번출구
