gu,name,rent,return,station
송파구,4870. 몽촌토성역 3번 출구,6034,6010,몽촌토성역3번
송파구,2620. 송파나루역 4번 출구옆,5855,6126,송파나루역4번
송파구,2622. 올림픽공원역 3번출구,4957,4943,올림픽공원역3번출구
송파구,1222. 잠실새내역 5번 출구 뒤,4371,4400,잠실새내역5번
송파구,1295. 잠실역 8번출구,3918,3900,잠실역8번출구
송파구,1264. 천호역 10번 출구 앞,3615,3615,천호역10번
송파구,4865. 한성백제역 1번출구 뒤,3485,3464,한성백제역1번출구
송파구,1209. 잠실나루역 (2번 출구 쪽),3403,3392,잠실나루역(2번
송파구,1251. 석촌역 2번출구,3315,3302,석촌역2번출구
송파구,1231. 잠실역 6번출구,2752,2894,잠실역6번출구
송파구,1218. 방이역 4번출구,2752,2739,방이역4번출구
송파구,2621. 한성백제역 2번 출구,2730,2720,한성백제역2번
송파구,2619. 석촌고분역 4번출구,2332,2443,석촌고분역4번출구
송파구,2618. 삼전역 1번출구,2270,2367,삼전역1번출구
송파구,1221. 삼전역 4번출구,1989,2079,삼전역4번출구
송파구,1201. 가락시장역 3번 출구,1959,1978,가락시장역3번
송파구,1215. 올림픽공원역 1번출구 앞,1924,1912,올림픽공원역1번출구
송파구,1259. 방이역 1번출구,1916,1916,방이역1번출구
송파구,1204. 거여역 3번출구,1844,1913,거여역3번출구
송파구,4491. 장지역 1번출구,1784,1769,장지역1번출구
송파구,1268. 몽촌토성역 1번출구 옆,1612,1607,몽촌토성역1번출구
송파구,1205. 종합운동장역 4번출구,1543,1296,종합운동장역4번출구
송파구,1212. 송파역 2번 출구앞,1491,1481,송파역2번
송파구,1227. 거여역 8번출구 뒤,1483,1473,거여역8번출구
송파구,1206. 9호선종합운동장역 9번출구,1429,1398,9호선종합운동장역9번출구
송파구,2605. 복정역 1번 출구 앞,1355,1508,복정역1번
송파구,1257. 가락시장역 사거리,1326,1342,가락시장역사거리
송파구,4854. 가락시장역 2번 출구,1294,1298,가락시장역2번
송파구,1214. 오금역 7번 출구 인근,1207,1181,오금역7번
송파구,4872. 개롱역 3번 출구 뒤,1154,1151,개롱역3번
송파구,4889. 마천역 1번 출구 인근②,909,868,마천역1번
송파구,5775. 가락시장역 5번출구,882,930,가락시장역5번출구
송파구,4485. 잠실나루역 고가하부,862,643,잠실나루역고가하부
송파구,4888. 둔촌오륜역 2번출구,828,753,둔촌오륜역2번출구
송파구,4463. 방이역 2번 출구,791,788,방이역2번
송파구,1253. 오금역 3번 출구 뒤,729,673,오금역3번
