gu,name,rent,return,station
용산구,841. 신용산역 1번 출구,1918,1948,신용산역1번
용산구,816. 신용산역 6번출구 앞,1882,1917,신용산역6번출구
용산구,834. 효창공원앞역 3번출구 뒤,1716,1752,효창공원앞역3번출구
용산구,838. 숙대입구역 4번출구,1514,1656,숙대입구역4번출구
용산구,4620. 삼각지역 14번 출구 앞(교통섬),1161,1185,삼각지역14번
용산구,835. 남영역 건너편,1134,1249,남영역건너편
용산구,817. 삼각지역 4번출구 앞,1109,1173,삼각지역4번출구
용산구,807. 서울역 12번 출구 앞,989,999,서울역12번
용산구,828. 숙대입구역 8번,898,1092,숙대입구역8번
용산구,813. 삼각지역 3번출구,868,931,삼각지역3번출구
용산구,4634. 이태원역 3번 출구,721,433,이태원역3번
용산구,4627. 효창공원앞역 5번출구 옆,436,418,효창공원앞역5번출구
용산구,802. 한강진역 2번 출구 앞,297,152,한강진역2번
