gu,name,rent,return,station
은평구,906. 연신내역 5번출구,2661,2855,연신내역5번출구
은평구,905. 구파발역 2번출구,2620,2821,구파발역2번출구
은평구,914. 새절역 2번출구,2522,2787,새절역2번출구
은평구,4685. DMC역 5번 출구(수색역 방향),1919,1912,DMC역5번
은평구,915. 증산역 4번출구,1697,1902,증산역4번출구
은평구,908. 구산역 4번출구,1388,1401,구산역4번출구
은평구,917. 녹번역 3번출구,1346,1326,녹번역3번출구
은평구,949. 연신내역 1번 출구 ,1229,1489,연신내역1번
은평구,961. 불광역 9번 출구,1166,1224,불광역9번
은평구,950. 구산역 2번 출구 예일여고 버스정류장,1027,1189,구산역2번
은평구,960. 구파발역 환승센터,883,1000,구파발역환승센터
은평구,4653. 불광역 9번 출구 맞은편,784,822,불광역9번
은평구,925. 불광역 2번출구,778,839,불광역2번출구
은평구,922. 연신내역 4번출구,686,705,연신내역4번출구
은평구,927. 연신내역 3번출구 인근,429,405,연신내역3번출구
