gu,name,rent,return,station
종로구,361. 동묘앞역 1번출구 뒤,3679,3769,동묘앞역1번출구
종로구,303. 광화문역 1번출구 앞,3159,2970,광화문역1번출구
종로구,458. 광화문역 5번출구,2905,2662,광화문역5번출구
종로구,393. 동대문역 8번 출구,2471,2457,동대문역8번
종로구,302. 경복궁역 6번출구 뒤,2446,2452,경복궁역6번출구
종로구,363. 신설동역 11번출구 뒤,2301,2418,신설동역11번출구
종로구,316. 종각역 1번출구 앞,2261,2175,종각역1번출구
종로구,385. 종각역 5번출구,1883,1846,종각역5번출구
종로구,367. 독립문역 3-1번출구 ,1605,1054,독립문역3-1번출구
종로구,326. 안국역 5번출구 앞,1547,1169,안국역5번출구
종로구,455. 종로6가역 버스정류장(동대문 방향),1515,1549,종로6가역버스정류장(동대문
종로구,334. 종로3가역 2번출구 뒤,1457,1409,종로3가역2번출구
종로구,301. 경복궁역 7번출구 앞,1416,973,경복궁역7번출구
종로구,341. 혜화역 3번출구 뒤,1360,1343,혜화역3번출구
종로구,335. 종로3가역 15번출구 앞,1299,1327,종로3가역15번출구
종로구,4718. 광화문역 6번출구 옆 A,1148,1161,광화문역6번출구
종로구,309. 광화문역 6번출구 옆 B,962,661,광화문역6번출구
종로구,348. 독립문역 사거리,924,654,독립문역사거리
종로구,364. 창신역 1번출구 앞,505,452,창신역1번출구
