gu,name,rent,return,station
중구,383. 신당역 12번 출구 뒤,4730,4955,신당역12번
중구,433. 을지로입구역 2번출구,2203,1765,을지로입구역2번출구
중구,398. 을지로3가역 3번출구,1981,1985,을지로3가역3번출구
중구,374. 청구역 2번출구 앞,1714,1717,청구역2번출구
중구,320. 을지로입구역 4번출구 앞,1551,1545,을지로입구역4번출구
중구,4794. 서울역 서부교차로(3),1510,1642,서울역서부교차로(3)
중구,336. 충무로역 6번출구 앞,1337,1273,충무로역6번출구
중구,389. 을지로4가역 1번출구,1259,1257,을지로4가역1번출구
중구,826. 서울역 서부교차로2,1219,1465,서울역서부교차로2
중구,4793. 동대문역사문화공원역 5번출구,1054,1020,동대문역사문화공원역5번출구
중구,399. 서울역 센트럴 자이아파트,962,580,서울역센트럴
중구,390. 충무로역 1번출구,921,872,충무로역1번출구
중구,4801. 충정로역 2호선(엘리베이터 앞),740,132,충정로역2호선(엘리베이터
중구,347. 동대문역사문화공원역 9번출구 앞,703,629,동대문역사문화공원역9번출구
중구,372. 약수역 3번출구 뒤,666,673,약수역3번출구
중구,4774. 을지로입구역 8번출구,655,651,을지로입구역8번출구
중구,4753. 시청역 10번출구,631,597,시청역10번출구
중구,371. 동대입구역 6번출구 뒤,545,544,동대입구역6번출구
중구,382. 약수역 10번출구 앞,418,418,약수역10번출구
중구,4760. 서울역 7번출구,135,128,서울역7번출구
