gu,name,rent,return,station
중랑구,1414. 사가정역 2번출구,3290,3387,사가정역2번출구
중랑구,1455. 상봉역 2번 출구,2801,2826,상봉역2번
중랑구,1447. 면목역 3번출구,2729,2829,면목역3번출구
중랑구,1449. 상봉역 1번출구,2647,2646,상봉역1번출구
중랑구,1450. 화랑대역 7번출구,1973,2191,화랑대역7번출구
중랑구,1416. 상봉역 3번출구,1942,2081,상봉역3번출구
중랑구,1433. 중화역 2번출구,1806,1833,중화역2번출구
중랑구,4820. 망우역 2번 출구,1550,1550,망우역2번
중랑구,1407. 먹골역 1번출구 뒤,1481,1517,먹골역1번출구
중랑구,4843. 봉화산역 4번 출구,1316,1355,봉화산역4번
중랑구,1408. 먹골역 6번출구 앞,1237,1424,먹골역6번출구
중랑구,1405. 망우역 1번출구,716,709,망우역1번출구
중랑구,4836. 양원역 1번 출구,675,665,양원역1번
중랑구,1421. 신내역 4번출구,616,581,신내역4번출구
중랑구,1424. 양원역 2번출구,294,266,양원역2번출구
중랑구,1427. 용마산역 1번출구,253,115,용마산역1번출구
