iter	Accuracy	MultiClass
0	0.7767142675	1.606991303
1	0.786668139	1.60454605
2	0.7905542376	1.602109027
3	0.7929472956	1.599706153
4	0.7980157867	1.597344652
5	0.7992904516	1.594942356
6	0.7978556301	1.592576293
7	0.795494969	1.590208727
8	0.7934309848	1.587838363
9	0.7936004707	1.585490104
10	0.7973907387	1.583136415
11	0.7979701864	1.580800301
12	0.797032137	1.578506245
13	0.7955971708	1.576185969
14	0.7952870776	1.57388087
15	0.79621566	1.571596333
16	0.79685875	1.569334492
17	0.7960282636	1.567053653
18	0.7941462935	1.564832995
19	0.7927061613	1.56256615
20	0.7937808537	1.560341058
21	0.7971985016	1.558081126
22	0.7974728952	1.555855439
23	0.7986925489	1.553649426
24	0.7987891198	1.551465753
25	0.7986523124	1.54927859
